,AHL,IPTG,FITC-A
0,0.0,0.0,3.0025488353952565
1,0.0,0.0002,3.112888401893647
2,0.0,0.001,3.068562642347479
3,1e-12,0.0,3.291684169338185
4,1e-12,0.0002,3.3340277867435146
5,1e-12,0.001,3.1582108974877956
6,1e-10,0.0,2.9303613487701763
7,1e-10,0.0002,3.0451222813430845
8,1e-10,0.001,2.851330566086248
9,1e-08,0.0,3.1661241802921904
10,1e-08,0.0002,2.853751851380996
11,1e-08,0.001,2.7696554916680602
12,1e-06,0.0,2.7078308598185776
13,1e-06,0.0002,2.768765905643034
14,1e-06,0.001,2.7479571817392565
15,0.0001,0.0,2.710654259382303
16,0.0001,0.0002,2.983120562519337
17,0.0001,0.001,2.8824934169491163
