,AHL,IPTG,FITC-A
0,0.0,0.0,2387.37680758436
1,0.0,0.0002,2438.944123384815
2,0.0,0.001,2341.9142863616034
3,1e-12,0.0,4075.216018454654
4,1e-12,0.0002,3669.3963433953495
5,1e-12,0.001,3267.201968349103
6,1e-10,0.0,1033.1944220283392
7,1e-10,0.0002,2696.079232929435
8,1e-10,0.001,7920.370762511246
9,1e-08,0.0,7562.369881453818
10,1e-08,0.0002,8149.742400825122
11,1e-08,0.001,8081.608408347404
12,1e-06,0.0,8127.3748759019645
13,1e-06,0.0002,7927.8835782872675
14,1e-06,0.001,8128.58942053417
15,0.0001,0.0,7762.693252128737
16,0.0001,0.0002,7902.456038997244
17,0.0001,0.001,7785.398455083355
